City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
199,Santa Maria,-29.68,-53.81,77.0,73,75,2.24,BR,2020-06-19 18:11:14
200,Otjimbingwe,-22.35,16.13,60.67,30,0,7.47,NA,2020-06-19 18:16:10
201,Bhikangaon,21.87,75.95,86.34,61,76,13.44,IN,2020-06-19 18:16:10
202,Kodiak,57.79,-152.41,48.2,87,90,6.42,US,2020-06-19 18:16:10
203,Wau,7.7,28.0,76.69,73,77,3.06,SS,2020-06-19 18:16:10
204,Obala,4.17,11.53,80.6,83,75,1.12,CM,2020-06-19 18:16:10
205,Hirara,24.8,125.28,83.82,85,94,17.49,JP,2020-06-19 18:16:10
206,Bosaso,11.28,49.18,94.32,41,0,6.93,SO,2020-06-19 18:16:10
207,Upernavik,72.79,-56.15,36.93,81,6,10.76,GL,2020-06-19 18:14:38
208,Miri,4.41,114.01,78.8,100,75,3.36,MY,2020-06-19 18:15:23
209,Mount Gambier,-37.83,140.77,48.2,93,90,12.75,AU,2020-06-19 18:15:33
210,Chilca,-12.52,-76.74,66.2,72,90,11.41,PE,2020-06-19 18:16:11
211,Dobroye,52.87,39.81,73.4,73,62,4.47,RU,2020-06-19 18:16:11
212,Ende,-8.84,121.66,77.41,82,95,8.34,ID,2020-06-19 18:16:11
213,Ulladulla,-35.35,150.47,51.8,100,90,4.7,AU,2020-06-19 18:16:11
214,Antofagasta,-23.65,-70.4,62.6,67,20,11.41,CL,2020-06-19 18:16:11
215,Mahebourg,-20.41,57.7,71.6,68,75,14.99,MU,2020-06-19 18:15:17
216,Coquimbo,-29.95,-71.34,64.4,59,71,6.93,CL,2020-06-19 18:16:11
217,Taltal,-25.4,-70.48,64.8,57,24,4.16,CL,2020-06-19 18:15:23
218,Oyotun,-6.85,-79.3,73.4,60,0,17.22,PE,2020-06-19 18:16:12
219,Acarau,-2.89,-40.12,83.98,72,27,13.35,BR,2020-06-19 18:16:12
220,Warud,21.47,78.27,84.61,64,94,8.84,IN,2020-06-19 18:16:12
221,Riviere-Au-Renard,49.0,-64.4,60.8,77,40,16.11,CA,2020-06-19 18:16:12
222,San Patricio,19.22,-104.7,86.0,74,5,9.17,MX,2020-06-19 18:16:12
223,Luang Prabang,19.89,102.13,74.14,88,11,1.66,LA,2020-06-19 18:16:12
224,Patrocinio,-18.94,-46.99,75.99,47,20,2.24,BR,2020-06-19 18:16:12
225,Stare Mesto,50.09,14.42,64.0,72,90,9.17,CZ,2020-06-19 18:16:12
226,Bathsheba,13.22,-59.52,84.2,79,40,13.87,BB,2020-06-19 18:15:15
227,Nuuk,64.18,-51.72,37.4,86,75,13.87,GL,2020-06-19 18:15:49
228,Narsipatnam,17.67,82.62,84.2,83,75,3.36,IN,2020-06-19 18:16:12
229,Saint Anthony,45.02,-93.22,75.0,49,1,6.93,US,2020-06-19 18:16:12
230,Narsaq,60.92,-46.05,50.0,67,75,12.75,GL,2020-06-19 18:16:13
231,Saldanha,-33.01,17.94,64.4,55,0,5.82,ZA,2020-06-19 18:16:13
232,Sola,-13.88,167.55,79.11,81,89,21.61,VU,2020-06-19 18:16:13
233,Mhlambanyatsi,-26.45,31.02,44.1,95,0,2.06,SZ,2020-06-19 18:16:13
234,Shimizu,43.01,142.88,55.29,91,100,1.83,JP,2020-06-19 18:16:13
235,Yurimaguas,-5.9,-76.08,89.6,59,40,5.82,PE,2020-06-19 18:16:13
236,Poum,-20.23,164.02,72.0,75,1,8.88,NC,2020-06-19 18:16:13
237,Ranfurly,-45.13,170.1,28.99,97,82,2.51,NZ,2020-06-19 18:16:13
238,Pemba,-12.97,40.52,78.8,69,20,16.11,MZ,2020-06-19 18:16:13
239,Tranas,58.04,14.98,77.0,38,49,6.93,SE,2020-06-19 18:16:13
240,Maceio,-9.67,-35.74,80.6,74,75,18.34,BR,2020-06-19 18:13:12
241,Carutapera,-1.2,-46.02,82.49,77,10,10.04,BR,2020-06-19 18:14:34
242,Norman Wells,65.28,-126.83,69.8,64,75,6.93,CA,2020-06-19 18:16:13
243,Abrau-Dyurso,44.69,37.59,66.2,88,75,2.24,RU,2020-06-19 18:16:14
244,Blagoyevo,63.37,47.92,47.26,83,79,15.28,RU,2020-06-19 18:16:14
245,San Quintin,30.48,-115.95,67.26,60,68,9.86,MX,2020-06-19 18:16:14
246,Huarmey,-10.07,-78.15,70.27,64,1,12.55,PE,2020-06-19 18:16:14
247,Ixtapa,20.7,-105.2,84.99,66,5,9.17,MX,2020-06-19 18:16:14
248,Dingle,11.0,122.67,75.65,83,76,2.48,PH,2020-06-19 18:16:14
249,Lahat,-3.8,103.53,72.19,90,69,2.33,ID,2020-06-19 18:16:14
250,Voskresenskoye,56.84,45.43,62.74,84,41,7.81,RU,2020-06-19 18:16:14
251,Reinosa,43.0,-4.14,66.2,68,40,4.7,ES,2020-06-19 18:16:14
252,Ahuimanu,21.44,-157.84,78.01,69,75,14.99,US,2020-06-19 18:16:14
253,Lazaro Cardenas,17.96,-102.2,88.2,50,59,6.29,MX,2020-06-19 18:16:14
254,Eureka,40.8,-124.16,68.0,100,53,3.0,US,2020-06-19 18:11:29
255,Canon City,38.44,-105.24,62.6,63,90,6.93,US,2020-06-19 18:16:15
256,Baruun-Urt,46.68,113.28,63.9,64,85,3.24,MN,2020-06-19 18:16:15
257,Livadiya,42.87,132.68,52.09,90,37,3.33,RU,2020-06-19 18:16:15
258,Lagoa,39.05,-27.98,65.28,89,48,19.42,PT,2020-06-19 18:15:35
259,Hithadhoo,-0.6,73.08,84.34,70,97,3.83,MV,2020-06-19 18:16:15
260,Kirovskiy,45.09,133.51,48.47,95,0,0.69,RU,2020-06-19 18:15:24
261,Storforshei,66.4,14.52,69.8,28,5,4.7,NO,2020-06-19 18:16:15
262,Taoudenni,22.68,-3.98,113.43,6,8,4.85,ML,2020-06-19 18:16:15
263,Koraput,18.82,82.72,72.72,92,100,7.07,IN,2020-06-19 18:16:15
264,Illapel,-31.63,-71.17,65.44,30,78,2.84,CL,2020-06-19 18:16:15
265,Narimanov,46.69,47.85,78.8,44,63,5.08,RU,2020-06-19 18:16:15
266,Tessalit,20.2,1.01,102.13,14,51,7.54,ML,2020-06-19 18:16:16
267,Shache,38.42,77.24,74.59,18,27,6.71,CN,2020-06-19 18:16:04
268,Kieta,-6.22,155.63,78.6,79,21,3.02,PG,2020-06-19 18:16:16
269,Bukachacha,52.98,116.92,47.46,82,31,4.23,RU,2020-06-19 18:12:05
270,Edd,13.93,41.69,87.89,60,0,9.84,ER,2020-06-19 18:16:16
271,Beringovskiy,63.05,179.32,48.92,57,60,9.08,RU,2020-06-19 18:12:05
272,Besskorbnaya,44.64,41.31,69.01,6,100,8.01,RU,2020-06-19 18:16:16
273,Kargasok,59.06,80.86,38.75,95,80,7.61,RU,2020-06-19 18:13:44
274,Kamenka,51.32,42.77,73.0,52,8,4.0,RU,2020-06-19 18:16:16
275,Bairiki,1.33,172.98,80.6,78,20,2.24,KI,2020-06-19 18:16:16
276,Superior,46.72,-92.1,75.99,47,1,9.17,US,2020-06-19 18:12:07
277,Kijabe,-0.93,36.58,57.99,90,79,3.31,KE,2020-06-19 18:16:16
278,Payo,-3.75,103.64,72.77,90,74,2.1,ID,2020-06-19 18:16:17
279,Vacaville,38.36,-121.99,96.01,25,1,5.82,US,2020-06-19 18:16:17
280,Nikolskoye,59.7,30.79,71.6,53,40,8.95,RU,2020-06-19 18:16:17
281,Gulu,2.77,32.3,66.52,87,45,1.14,UG,2020-06-19 18:16:17
282,Walvis Bay,-22.96,14.51,77.0,35,0,1.12,NA,2020-06-19 18:16:17
283,Leningradskiy,69.38,178.42,45.19,63,76,3.62,RU,2020-06-19 18:15:26
284,Alamos,27.02,-108.93,95.0,46,3,5.99,MX,2020-06-19 18:16:17
285,Grindavik,63.84,-22.43,55.4,62,75,12.75,IS,2020-06-19 18:16:17
286,Faanui,-16.48,-151.75,80.17,78,17,6.33,PF,2020-06-19 18:16:17
287,Biskamzha,53.45,89.53,49.44,87,63,0.4,RU,2020-06-19 18:16:18
288,Gotsu,35.0,132.22,64.69,89,79,7.16,JP,2020-06-19 18:16:18
289,Rincon,32.3,-81.24,91.99,46,75,8.05,US,2020-06-19 18:16:18
290,Ranong,9.97,98.63,81.03,82,76,6.46,TH,2020-06-19 18:14:34
291,Varhaug,58.61,5.65,70.0,73,40,6.93,NO,2020-06-19 18:16:18
292,Lubbock,33.6,-101.83,87.01,54,40,9.17,US,2020-06-19 18:16:18
293,Qaanaaq,77.48,-69.36,36.07,81,91,1.54,GL,2020-06-19 18:16:18
294,Formosa Do Rio Preto,-11.05,-45.19,85.51,34,0,8.57,BR,2020-06-19 18:16:18
295,Chaihe,44.77,129.7,50.74,90,53,1.52,CN,2020-06-19 18:16:19
296,Ciudad Bolivar,8.12,-63.55,89.38,56,54,4.74,VE,2020-06-19 18:16:19
297,Dakar,14.69,-17.44,82.4,74,86,13.87,SN,2020-06-19 18:16:19
298,Posse,-14.09,-46.37,82.35,37,2,7.27,BR,2020-06-19 18:16:19
299,Valparaiso,-33.04,-71.63,59.0,100,90,5.82,CL,2020-06-19 18:16:19
300,Ontario,34.06,-117.65,73.4,68,75,4.7,US,2020-06-19 18:15:40
301,Souillac,-20.52,57.52,71.6,68,75,14.99,MU,2020-06-19 18:16:19
302,Nago,26.59,127.98,82.4,94,90,13.87,JP,2020-06-19 18:16:19
303,Naron,43.52,-8.15,70.0,67,2,7.0,ES,2020-06-19 18:16:19
304,Half Moon Bay,37.46,-122.43,73.0,72,20,5.82,US,2020-06-19 18:13:57
